episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",18,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,move",4,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",36,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,eat",11,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,move",2,LLMDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",19,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,eat",5,RuleBasedDecisionModule
1,1,"IF,low berries,high health,high society wellbeing,THEN,eat",9,RuleBasedDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",42,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",17,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,2,"IF,low berries,high health,high society wellbeing,THEN,eat",7,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",45,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",20,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,3,"IF,low berries,high health,high society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",41,RuleBasedDecisionModule
