episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",17,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",3,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,throw",1,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,throw",3,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,eat",10,LLMDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",41,LLMDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",14,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,1,"IF,low berries,high health,high society wellbeing,THEN,eat",14,RuleBasedDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",41,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",13,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,eat",7,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",39,RuleBasedDecisionModule
1,2,"IF,low berries,high health,high society wellbeing,THEN,eat",16,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",16,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,3,"IF,low berries,high health,high society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",45,RuleBasedDecisionModule
