episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",14,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",6,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",20,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",44,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,move",6,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,move",8,LLMDecisionModule
1,0,"IF,high berries,high health,low society wellbeing,THEN,move",15,LLMDecisionModule
1,0,"IF,high berries,high health,low society wellbeing,THEN,throw",2,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,move",3,LLMDecisionModule
1,0,"IF,high berries,high health,low society wellbeing,THEN,eat",6,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,eat",37,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",136,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,wait",1,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,high berries,high health,high society wellbeing,THEN,throw",5,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",20,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,high society wellbeing,THEN,throw",2,RuleBasedDecisionModule
