episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",6,LLMDecisionModule
1,0,"IF,high berries,high health,high society wellbeing,THEN,move",4,LLMDecisionModule
1,0,"IF,high berries,high health,high society wellbeing,THEN,throw",3,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,throw",2,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,throw",1,LLMDecisionModule
1,0,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",8,LLMDecisionModule
1,0,"IF,medium berries,medium health,medium society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,high berries,medium health,medium society wellbeing,THEN,move",5,LLMDecisionModule
1,0,"IF,high berries,medium health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,move",8,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,high berries,medium health,medium society wellbeing,THEN,throw",5,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,1,"IF,high berries,high health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",17,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,throw",13,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,high berries,high health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,3,"IF,high berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,high berries,high health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,medium society wellbeing,THEN,throw",5,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",15,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
