episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",69,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",16,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",49,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",15,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",112,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,eat",32,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,wait",5,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",11,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",31,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",9,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",21,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,move",22,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,move",33,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,move",17,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,low society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,wait",5,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,throw",14,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,high berries,medium health,medium society wellbeing,THEN,throw",6,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",32,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,move",11,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,medium society wellbeing,THEN,eat",11,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,throw",20,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,move",19,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,move",8,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,move",52,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,wait",4,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,low society wellbeing,THEN,eat",5,RuleBasedDecisionModule
