episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",90,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",4,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",3,LLMDecisionModule
1,0,"IF,high berries,high health,high society wellbeing,THEN,move",3,LLMDecisionModule
1,0,"IF,high berries,high health,high society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,high berries,high health,medium society wellbeing,THEN,eat",3,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",14,LLMDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,wait",11,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,wait",2,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",55,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,move",6,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",82,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,eat",22,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,wait",1,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",9,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,high society wellbeing,THEN,throw",10,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",17,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",15,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,eat",5,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,move",11,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,move",31,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,low society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",9,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,throw",15,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,high berries,high health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",33,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,move",8,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,throw",9,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,move",37,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,wait",5,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,low society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,throw",8,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,3,"IF,high berries,high health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,high society wellbeing,THEN,throw",9,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,medium society wellbeing,THEN,throw",6,RuleBasedDecisionModule
