episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",8,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,throw",9,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",114,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,throw",23,LLMDecisionModule
1,0,"IF,no berries,medium health,medium society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",22,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",32,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,eat",6,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,throw",5,LLMDecisionModule
1,0,"IF,no berries,medium health,low society wellbeing,THEN,move",50,LLMDecisionModule
1,0,"IF,medium berries,medium health,low society wellbeing,THEN,throw",5,LLMDecisionModule
1,0,"IF,medium berries,medium health,low society wellbeing,THEN,eat",6,LLMDecisionModule
1,0,"IF,medium berries,medium health,low society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,no berries,low health,low society wellbeing,THEN,move",10,LLMDecisionModule
1,0,"IF,medium berries,low health,low society wellbeing,THEN,eat",1,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",13,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",16,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,move",21,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",81,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",18,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,move",22,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",18,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,move",33,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,low society wellbeing,THEN,eat",9,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,move",43,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,throw",14,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,high berries,medium health,medium society wellbeing,THEN,throw",16,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",75,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,move",27,RuleBasedDecisionModule
1,2,"IF,high berries,low health,medium society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",9,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,medium society wellbeing,THEN,eat",17,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,move",32,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,throw",22,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,move",15,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,move",45,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,low society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,low society wellbeing,THEN,eat",11,RuleBasedDecisionModule
1,2,"IF,medium berries,low health,low society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,high society wellbeing,THEN,throw",7,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",45,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",18,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,wait",8,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,move",81,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,low society wellbeing,THEN,throw",6,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,low society wellbeing,THEN,move",64,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,low society wellbeing,THEN,eat",15,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,low society wellbeing,THEN,wait",8,RuleBasedDecisionModule
1,3,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,low society wellbeing,THEN,wait",1,RuleBasedDecisionModule
1,3,"IF,no berries,low health,low society wellbeing,THEN,move",13,RuleBasedDecisionModule
1,3,"IF,medium berries,low health,low society wellbeing,THEN,wait",2,RuleBasedDecisionModule
1,3,"IF,medium berries,low health,low society wellbeing,THEN,eat",5,RuleBasedDecisionModule
